Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
Mossberg,151M-B,Mossberg,Non-restricted,Semi-Automatic,Rifle,22 LR,15,508,05-11-03,Individual,P0,ON,Canada,,,"
",
Beretta,AL391 Urika,Beretta,Non-restricted,Semi-Automatic,Shotgun,"20 GA X 3""",3,610,05-10-27,Individual,43,,Outside Canada,,,"
",
De Haan Shotguns,S2,Huglu,Non-restricted,Multi Barrel,Shotgun,"12 GA X 3""",2,711,05-10-27,Individual,T9,AB,Canada,,,"
",
Savage,110,Savage,Non-restricted,Bolt Action,Rifle,7MM REM MAG,3,610,06-03-09,Individual,R0,MB,Canada,,,"
",
Remington,870 Police,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,508,05-11-07,Public Agency,T5,AB,Canada,,,"
",
CIL,674TD,Mossberg,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",5,710,05-12-29,Individual,A0,NF,Canada,,,"
",
Savage,130VR(HIAWATHA),,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
Cooey,75,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,E4,NB,Canada,,,"
",
JUKAR,KENTUCKY REPRODUCTION,,Restricted,Single Shot,Handgun,45,,241,03-01-16,Individual,V1,BC,Canada,,,"
",
Winchester,centennial 66,,Non-restricted,Lever Action,Rifle,30-30,Multi-shots,> 470mm,02-12-26,Individual,P0,ON,Canada,,,"
",
Remington,Defender,,Non-restricted,Pump Action,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,T1,AB,Canada,,,"
",
Cooey,60,,Non-restricted,Bolt Action,Rifle,0.22,Multi-shots,> 470mm,02-12-26,Individual,R1,MB,Canada,,,"
",
Stevens,94,,Non-restricted,Hinge Break,Shotgun,12,1,> 470mm,02-12-26,Individual,E5,NB,Canada,,,"
",
Remington,788,Remington,Non-restricted,Bolt Action,Rifle,308 WIN,3,565,99-08-03,Individual,J0,QC,Canada,,,"
",
Remington,7400,Remington,Non-restricted,Semi-Automatic,Rifle,308 WIN,4,559,03-09-18,Individual,K8,ON,Canada,,,"
",
Remington,wing master 870,,Non-restricted,Pump Action,Shotgun,12 gauge,Multi-shots,> 470mm,02-12-26,Individual,R7,MB,Canada,,,"
",
Smith & Wesson,41,,Restricted,Semi-Automatic,Handgun,22 LR,10,127,03-03-20,Individual,T6,AB,Canada,,,"
",
Browning,CITORI,,Non-restricted,Hinge Break,Shotgun,20GA,Multi-shots,> 470mm,02-12-26,Individual,V9,BC,Canada,,,"
",
SAFARI,UNKNOWN,,Non-restricted,Hinge Break,Shotgun,410GA,Multi-shots,> 470mm,02-12-26,Individual,V9,BC,Canada,,,"
",
Browning,BPS Field,,Non-restricted,Pump Action,Shotgun,"10 GA X 3 1/2""",3,711,01-12-04,Individual,G6,QC,Canada,,,"
",
Browning,BPS Field,,Non-restricted,Pump Action,Shotgun,"10 GA X 3 1/2""",3,711,01-10-12,Individual,G0,QC,Canada,,,"
",
Ruger,P90                                                               ,Sturm Ruger,Restricted,Semi-Automatic,Handgun,45 AUTO                       ,7,114,00-05-04,Individual,T6,AB,Canada,,,"
",
Glock,17,Glock,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,114,02-12-12,Individual,N2,ON,Canada,,,"
",
Winchester,70 Classic Sporter,Fabrique Nationale Herstal (FN),Non-restricted,Bolt Action,Rifle,7MM REM MAG,3,660,01-06-05,Individual,R2,MB,Canada,,,"
",
Remington,7600,,Non-restricted,Pump Action,Rifle,30-06 SPRG                    ,4,568,99-08-03,Individual,K9,ON,Canada,,,"
",
Mossberg,42B,Mossberg,Non-restricted,Bolt Action,Rifle,22 LR,8,610,05-11-03,Individual,P0,ON,Canada,,,"
",
Cooey,600,Winchester,Non-restricted,Bolt Action,Rifle,22 LR,10,610,05-12-29,Individual,J0,QC,Canada,,,"
",
Cooey,840,,Non-restricted,Hinge Break,Shotgun,12 guage,1,> 470mm,03-12-11,Individual,N8,ON,Canada,,,"
",
BAIKAL,IJ27EIC,,Non-restricted,Hinge Break,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,N3,ON,Canada,,,"
",
Colt,1911 Government,Colt,Restricted,Semi-Automatic,Handgun,45 AUTO,7,127,03-01-09,Individual,V1,BC,Canada,,,"
",
Winchester,120,,Non-restricted,Pump Action,Shotgun,12gauge,Multi-shots,> 470mm,02-12-26,Individual,V1,BC,Canada,,,"
",
SMITH & WESSON,34,,Prohibited,Revolver,Handgun,22 LR,,102,03-05-01,Individual,T2,AB,Canada,,,"
",
Knight,LK-93 Wolverine,Knight Rifles,Non-restricted,Single Shot,Rifle,54 PERCUSSION                 ,1,559,02-04-18,Individual,T9,AB,Canada,,,"
",
Knight,LK-93 Wolverine,Knight Rifles,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,559,00-09-28,Individual,T4,AB,Canada,,,"
",
Remington                                                         ,700 ML Camo,Remington,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,610,00-12-08,Individual,N7,ON,Canada,,,"
",
